ticket_sale_id,ticket_customer_id,match_id,match_type,purchased_at,ticket_type,quantity,unit_price_nok,sales_channel,status
TS-0000001,71000476,1526992464,away,2024-07-08T03:37:00Z,adult,2,360,app,completed
TS-0000002,71006732,1526992464,away,2024-08-09T05:28:00Z,youth,2,200,box_office,completed
TS-0000003,71000340,1526992464,away,2024-10-01T03:17:00Z,youth,1,200,web,completed
TS-0000004,71000306,1526992464,away,2024-09-13T11:43:00Z,adult,1,360,web,completed
TS-0000005,71006307,1526992464,away,2024-06-27T02:24:00Z,student,2,250,app,cancelled
TS-0000006,71006460,1526992464,away,2024-08-21T07:05:00Z,student,2,250,app,completed
TS-0000007,71002975,1526992464,away,2024-08-23T04:11:00Z,adult,1,360,web,completed
TS-0000008,71005644,1526992464,away,2024-06-29T16:09:00Z,student,1,250,web,completed
TS-0000009,71006205,1526992464,away,2024-06-16T20:56:00Z,student,1,250,web,cancelled
TS-0000010,71005661,1526992464,away,2024-09-30T19:59:00Z,student,1,250,web,completed
TS-0000011,71000799,1526992464,away,2024-08-24T17:57:00Z,adult,1,360,web,completed
TS-0000012,71007055,1526992464,away,2024-07-04T19:56:00Z,adult,3,360,app,completed
TS-0000013,71000289,1526992464,away,2024-09-26T06:46:00Z,youth,2,200,web,completed
TS-0000014,71000850,1526992464,away,2024-09-30T18:04:00Z,adult,2,360,web,completed
TS-0000015,71004403,1526992464,away,2024-10-02T16:01:00Z,student,3,250,web,completed
TS-0000016,71002261,1526992464,away,2024-10-02T06:49:00Z,adult,1,360,web,cancelled
TS-0000017,71004845,1526992464,away,2024-10-01T14:00:00Z,child,4,140,web,completed
TS-0000018,71006613,1526992464,away,2024-08-23T12:48:00Z,adult,2,360,web,completed
TS-0000019,71005593,1526992464,away,2024-06-18T16:04:00Z,youth,1,200,app,completed
TS-0000020,71002142,1526992464,away,2024-07-28T03:39:00Z,adult,1,360,web,completed
TS-0000021,71003502,1526992464,away,2024-08-31T18:05:00Z,adult,1,360,app,completed
TS-0000022,71000000,1526992464,away,2024-10-01T13:57:00Z,child,2,140,web,completed
TS-0000023,71006545,1526992464,away,2024-08-11T06:50:00Z,youth,1,200,app,completed
TS-0000024,71003009,1526992464,away,2024-06-19T00:55:00Z,adult,2,360,app,completed
TS-0000025,71004675,1526992464,away,2024-07-01T10:07:00Z,student,3,250,web,completed
TS-0000026,71002414,1526992464,away,2024-10-01T04:39:00Z,adult,2,360,web,completed
TS-0000027,71002363,1526992464,away,2024-10-01T14:12:00Z,adult,1,360,web,completed
TS-0000028,71005695,1526992464,away,2024-07-30T17:48:00Z,child,2,140,web,completed
TS-0000029,71003366,1526992464,away,2024-07-10T17:47:00Z,adult,2,360,box_office,completed
TS-0000030,71005440,1526992464,away,2024-10-02T11:09:00Z,adult,1,360,web,completed
TS-0000031,71002295,1526992464,away,2024-08-07T21:40:00Z,student,4,250,web,completed
TS-0000032,71005899,1526992464,away,2024-07-20T15:49:00Z,student,1,250,app,completed
TS-0000033,71000238,1526992464,away,2024-09-23T16:46:00Z,adult,1,360,box_office,completed
TS-0000034,71003162,1526992464,away,2024-06-30T02:31:00Z,student,1,250,app,completed
TS-0000035,71003859,1526992464,away,2024-08-07T10:34:00Z,adult,1,360,web,completed
TS-0000036,71004267,1526992464,away,2024-07-05T03:26:00Z,student,1,250,app,completed
TS-0000037,71006273,1526992464,away,2024-08-24T19:56:00Z,youth,2,200,app,completed
TS-0000038,71003893,1526992464,away,2024-10-02T21:50:00Z,adult,1,360,box_office,completed
TS-0000039,71001921,1526992464,away,2024-09-07T22:11:00Z,adult,2,360,app,completed
TS-0000040,71001700,1526992464,away,2024-09-13T04:19:00Z,student,2,250,web,completed
TS-0000041,71000119,1526992464,away,2024-06-18T01:42:00Z,adult,4,360,app,completed
TS-0000042,71006188,1526992464,away,2024-10-02T05:19:00Z,student,1,250,web,completed
TS-0000043,71002822,1526992464,away,2024-09-11T16:16:00Z,student,1,250,box_office,completed
TS-0000044,71002907,1526992464,away,2024-08-25T17:24:00Z,adult,1,360,app,completed
TS-0000045,71000986,1526992464,away,2024-09-08T09:25:00Z,child,2,140,web,completed
TS-0000046,71003417,1526992464,away,2024-10-01T03:49:00Z,student,2,250,web,refunded
TS-0000047,71006035,1526992464,away,2024-07-18T17:57:00Z,child,2,140,web,completed
TS-0000048,71007072,1526992464,away,2024-06-29T19:45:00Z,adult,4,360,app,cancelled
TS-0000049,71000425,1526992464,away,2024-09-22T11:08:00Z,youth,1,200,web,completed
TS-0000050,71001360,1526992464,away,2024-08-18T19:41:00Z,student,3,250,app,completed
TS-0000051,71005916,1526992464,away,2024-06-28T19:53:00Z,youth,2,200,web,completed
TS-0000052,71004998,1526992464,away,2024-08-23T21:04:00Z,adult,1,360,web,completed
TS-0000053,71005763,1526992464,away,2024-07-04T22:47:00Z,youth,1,200,web,refunded
TS-0000054,71004420,1526992464,away,2024-10-03T02:37:00Z,youth,2,200,web,completed
TS-0000055,71007106,1526992464,away,2024-09-06T00:02:00Z,student,3,250,web,completed
TS-0000056,71005219,1526992464,away,2024-10-03T01:01:00Z,adult,2,360,web,completed
TS-0000057,71001139,1526992464,away,2024-08-30T18:31:00Z,student,1,250,web,completed
TS-0000058,71002669,1526992464,away,2024-10-01T14:32:00Z,adult,2,360,web,completed
TS-0000059,71004573,1526992464,away,2024-10-02T07:12:00Z,adult,2,360,app,completed
TS-0000060,71001105,1526992464,away,2024-08-03T02:12:00Z,youth,1,200,web,completed
TS-0000061,71004607,1526992464,away,2024-08-19T21:40:00Z,child,1,140,web,completed
TS-0000062,71002074,1526992464,away,2024-06-25T13:48:00Z,child,2,140,app,completed
TS-0000063,71006341,1526992464,away,2024-09-30T22:02:00Z,adult,1,360,app,completed
TS-0000064,71002465,1526992464,away,2024-09-20T06:18:00Z,adult,1,360,web,completed
TS-0000065,71007140,1526992464,away,2024-08-22T02:04:00Z,adult,1,360,web,completed
TS-0000066,71000221,1526992464,away,2024-08-07T10:13:00Z,adult,2,360,app,completed
TS-0000067,71000255,1526992464,away,2024-10-03T08:18:00Z,adult,2,360,app,refunded
TS-0000068,71006052,1526992464,away,2024-07-31T21:27:00Z,child,1,140,app,completed
TS-0000069,71006103,1526992464,away,2024-08-03T17:55:00Z,adult,4,360,web,completed
TS-0000070,71001156,1526992464,away,2024-08-04T01:51:00Z,adult,1,360,web,completed
TS-0000071,71005678,1526992464,away,2024-06-29T19:57:00Z,youth,1,200,box_office,completed
TS-0000072,71001088,1526992464,away,2024-09-11T16:52:00Z,student,1,250,app,completed
TS-0000073,71003111,1526992464,away,2024-06-18T06:31:00Z,student,2,250,app,completed
TS-0000074,71006987,1526992464,away,2024-09-27T05:19:00Z,youth,1,200,web,completed
TS-0000075,71005151,1526992464,away,2024-09-07T06:46:00Z,adult,1,360,web,completed
